iter	Passed	Remaining
0	44	132989
1	56	85161
2	66	65953
3	72	54254
4	78	47073
5	95	47757
6	103	44405
7	108	40719
8	113	37660
9	117	35256
10	122	33260
11	127	31719
12	131	30260
13	136	29167
14	141	28174
15	146	27363
16	152	26806
17	159	26370
18	164	25848
19	170	25345
20	175	24842
21	179	24304
22	184	23824
23	188	23406
24	194	23122
25	198	22695
26	202	22325
27	207	22057
28	212	21780
29	216	21481
30	221	21226
31	226	21009
32	232	20869
33	237	20731
34	242	20585
35	247	20398
36	252	20225
37	256	20026
38	260	19800
39	264	19599
40	269	19462
41	273	19295
42	278	19139
43	282	19001
44	287	18871
45	292	18798
46	296	18656
47	301	18559
48	306	18453
49	310	18333
50	315	18218
51	319	18124
52	324	18030
53	328	17915
54	332	17825
55	337	17749
56	342	17664
57	346	17584
58	351	17500
59	355	17406
60	359	17336
61	364	17259
62	369	17214
63	373	17152
64	378	17105
65	383	17043
66	388	16993
67	393	16960
68	398	16911
69	402	16853
70	408	16853
71	413	16808
72	418	16767
73	423	16732
74	427	16680
75	432	16645
76	437	16597
77	441	16542
78	445	16481
79	450	16440
80	454	16386
81	459	16351
82	463	16301
83	468	16274
84	473	16240
85	477	16191
86	482	16170
87	487	16127
88	491	16085
89	496	16055
90	501	16028
91	505	15989
92	510	15947
93	514	15909
94	518	15864
95	523	15827
96	527	15794
97	532	15777
98	537	15738
99	541	15701
100	546	15676
101	550	15646
102	554	15608
103	559	15568
104	563	15545
105	568	15512
106	572	15479
107	577	15458
108	581	15425
109	585	15392
110	590	15365
111	595	15345
112	599	15321
113	604	15315
114	609	15295
115	615	15291
116	620	15289
117	625	15269
118	630	15261
119	635	15241
120	639	15216
121	644	15204
122	649	15185
123	653	15161
124	658	15139
125	663	15139
126	668	15120
127	672	15098
128	679	15120
129	684	15108
130	688	15083
131	694	15079
132	698	15064
133	703	15038
134	707	15020
135	713	15021
136	717	14997
137	721	14960
138	726	14951
139	730	14930
140	735	14907
141	740	14902
142	744	14882
143	749	14857
144	753	14840
145	758	14827
146	762	14802
147	767	14781
148	772	14778
149	776	14758
150	781	14743
151	785	14724
152	790	14713
153	794	14687
154	799	14668
155	804	14664
156	809	14649
157	813	14631
158	817	14614
159	822	14595
160	826	14579
161	831	14566
162	835	14550
163	841	14549
164	845	14529
165	849	14503
166	853	14486
167	858	14466
168	863	14456
169	867	14439
170	872	14430
171	876	14410
172	880	14384
173	884	14364
174	888	14348
175	893	14331
176	897	14309
177	901	14294
178	906	14282
179	911	14278
180	915	14258
181	920	14244
182	924	14228
